akul@node0:~$ cat strace.txt
49090 09:09:44.144718 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=49689, si_uid=20001, si_status=0, si_utime=43, si_stime=14} ---
49090 09:09:44.146285 munmap(0x7f4ff8ffb000, 50352128) = 0 <0.002604>
49090 09:09:44.149422 munmap(0x7f4fa3ff6000, 201347072) = 0 <0.008218>
49726 09:09:44.160452 brk(NULL)         = 0x55bde068c000 <0.000011>
49726 09:09:44.162034 mmap(0x7f188a7c4000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5a000) = 0x7f188a7c4000 <0.000010>
49726 09:09:44.162063 mmap(0x7f188a7c9000, 5376, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f188a7c9000 <0.000009>
49726 09:09:44.162171 mmap(NULL, 4681600, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a2f2000 <0.000010>
49726 09:09:44.162198 mmap(0x7f188a356000, 2695168, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x64000) = 0x7f188a356000 <0.000012>
49726 09:09:44.162225 mmap(0x7f188a5e8000, 1523712, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x2f6000) = 0x7f188a5e8000 <0.000010>
49726 09:09:44.162251 mmap(0x7f188a75c000, 45056, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x469000) = 0x7f188a75c000 <0.000010>
49726 09:09:44.162280 mmap(0x7f188a767000, 8064, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f188a767000 <0.000010>
49726 09:09:44.162397 mmap(NULL, 789072, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7f188a231000 <0.000009>
49726 09:09:44.162423 mmap(0x7f188a24d000, 413696, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1c000) = 0x7f188a24d000 <0.000011>
49726 09:09:44.162450 mmap(0x7f188a2b2000, 237568, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x81000) = 0x7f188a2b2000 <0.000010>
49726 09:09:44.162476 mmap(0x7f188a2ec000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xba000) = 0x7f188a2ec000 <0.000010>
